Locality,Area,AmphibianSpecies,FrogSpecies,SalamanderSpecies
John's Bog (Blue Ridge),0.0081,10,1,9
Henderson Bog,0.101,12,5,7
UT Arboretum,1.01,16,9,7
"Sweet's Farm, Highland Co. VA",1.57,13,5,8
Cantonment Area WV,3.78,17,7,10
Briery Mountain WV,4.23,14,4,10
Pringle Tract WV,8.54,11,4,7
Harper's Ferry NHP WV,9.65,16,6,10
New River SP NC,13.45,18,7,11
Elk Knob SP NC,17.9,17,4,13
Gorges SP NC ,31.2,23,9,14
Radford Ammunition Plant,32.7,19,8,11
Gauley River NRA WV,46.57,26,9,17
New River Gorge NP WV,294.64,30,9,21
Unicoi Co. TN,481.7,27,6,21
Whitfield Co. GA,753.69,20,12,8
Shenandoah Valley NP VA,799,25,10,15
Watauga Co. NC,809.63,30,9,21
Anderson County TN,893.6,30,13,17
Murray Co. GA,898.73,26,10,16
Fannin Co. GA,1015.28,19,8,11
Polk Co. TN,1144.8,38,13,25
Hamilton Co. TN,1491.8,32,13,19
Sevier Co. TN,1548.8,39,11,28
Buncombe Co. NC,1709.4,36,10,26
Great Smokies NP,2114,45,12,33
